model_name,number_of_epochs,batch_size,duration,train_accuracy,test_accuracy,train_loss,test_loss
model_1_epoch_5_batch_size_8_duration_1.0.h5,5,8,1.0,0.3803865313529968,0.2770463526248932,1.7130998373031616,1.9095622301101685
model_1_epoch_5_batch_size_8_duration_1.5.h5,5,8,1.5,0.4137437343597412,0.36977675557136536,1.627570629119873,1.7391295433044434
model_1_epoch_5_batch_size_8_duration_2.0.h5,5,8,2.0,0.40229061245918274,0.32054951786994934,1.6074260473251343,1.8554316759109497
model_1_epoch_5_batch_size_8_duration_3.0.h5,5,8,3.0,0.48117393255233765,0.5197481513023376,1.465741515159607,1.4189352989196777
model_1_epoch_5_batch_size_8_duration_4.0.h5,5,8,4.0,0.451825350522995,0.5334859490394592,1.5019599199295044,1.3567795753479004
model_1_epoch_5_batch_size_16_duration_1.0.h5,5,16,1.0,0.3685039281845093,0.34859758615493774,1.7492213249206543,1.767575740814209
model_1_epoch_5_batch_size_16_duration_1.5.h5,5,16,1.5,0.32627058029174805,0.29937034845352173,1.8038814067840576,1.8673064708709717
model_1_epoch_5_batch_size_16_duration_2.0.h5,5,16,2.0,0.3934144675731659,0.25586721301078796,1.684486746788025,2.00907301902771
model_1_epoch_5_batch_size_16_duration_3.0.h5,5,16,3.0,0.3476020097732544,0.33886662125587463,1.7536379098892212,1.7137246131896973
model_1_epoch_5_batch_size_16_duration_4.0.h5,5,16,4.0,0.394559770822525,0.5042930841445923,1.6223349571228027,1.4863249063491821
model_1_epoch_5_batch_size_32_duration_1.0.h5,5,32,1.0,0.3440228998661041,0.40641099214553833,1.7696868181228638,1.6725529432296753
model_1_epoch_5_batch_size_32_duration_1.5.h5,5,32,1.5,0.35175377130508423,0.2879221439361572,1.7945634126663208,1.939437985420227
model_1_epoch_5_batch_size_32_duration_2.0.h5,5,32,2.0,0.3274158835411072,0.4184316098690033,1.8505100011825562,1.6897211074829102
model_1_epoch_5_batch_size_32_duration_3.0.h5,5,32,3.0,0.4234788715839386,0.4253005087375641,1.595054030418396,1.637394666671753
model_1_epoch_5_batch_size_32_duration_4.0.h5,5,32,4.0,0.11796706914901733,0.10818546265363693,2.2601964473724365,2.2639405727386475
model_1_epoch_5_batch_size_64_duration_1.0.h5,5,64,1.0,0.29620614647865295,0.35489410161972046,1.9081554412841797,1.8147584199905396
model_1_epoch_5_batch_size_64_duration_1.5.h5,5,64,1.5,0.11338582634925842,0.10818546265363693,2.262345552444458,2.2644150257110596
model_1_epoch_5_batch_size_64_duration_2.0.h5,5,64,2.0,0.3113815188407898,0.35661134123802185,1.8587894439697266,1.7662676572799683
model_1_epoch_5_batch_size_64_duration_3.0.h5,5,64,3.0,0.11811023950576782,0.15111619234085083,2.2576792240142822,2.263841390609741
model_1_epoch_5_batch_size_64_duration_4.0.h5,5,64,4.0,0.12254831939935684,0.17401258647441864,2.247835636138916,2.218045473098755
model_1_epoch_5_batch_size_128_duration_1.0.h5,5,128,1.0,0.20472441613674164,0.32398396730422974,2.1024749279022217,1.9851984977722168
model_1_epoch_5_batch_size_128_duration_1.5.h5,5,128,1.5,0.20816034078598022,0.25815683603286743,2.110506534576416,2.1157801151275635
model_1_epoch_5_batch_size_128_duration_2.0.h5,5,128,2.0,0.1120973527431488,0.10818546265363693,2.2667078971862793,2.2680673599243164
model_1_epoch_5_batch_size_128_duration_3.0.h5,5,128,3.0,0.2369362860918045,0.3199771046638489,2.0523293018341064,1.9547219276428223
model_1_epoch_5_batch_size_128_duration_4.0.h5,5,128,4.0,0.11324266344308853,0.11219233274459839,2.2689707279205322,2.269322395324707
model_1_epoch_10_batch_size_8_duration_1.0.h5,10,8,1.0,0.48088762164115906,0.4911276400089264,1.4701251983642578,1.4211654663085938
model_1_epoch_10_batch_size_8_duration_1.5.h5,10,8,1.5,0.5032212138175964,0.4579278826713562,1.3880561590194702,1.5844643115997314
